model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.150,binder,0.6645695439,0.0002064472,0.5685367725,5506,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.150,xi_over_L,0.0000000000,0.0214692088,0.5685367725,5506,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.150,susceptibility,0.2878386332,0.0250771689,0.5685367725,5506,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.150,magnetization_abs,1.3455540963,0.0037005806,0.5685367725,5506,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.150,acceptance_rate,0.5205416667,0.0008994448,0.5000000000,5506,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.150,binder,0.6651442663,0.0001612819,0.7071018164,5768,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.150,xi_over_L,0.0317966019,0.0317579818,0.7071018164,5768,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.150,susceptibility,0.3056146345,0.0351560115,0.7071018164,5768,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.150,magnetization_abs,1.3558250754,0.0035437482,0.7071018164,5768,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.150,acceptance_rate,0.5122251157,0.0006254323,0.5000000000,5768,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.150000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.950_lam1.200,binder,0.6595314532,0.0005439166,0.7910886426,5032,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.950_lam1.200,xi_over_L,0.1055100900,0.0178393815,0.7910886426,5032,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.950_lam1.200,susceptibility,0.3371985620,0.0244397837,0.7910886426,5032,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.950_lam1.200,magnetization_abs,1.3166398978,0.0078744500,0.7910886426,5032,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m0.950_lam1.200,acceptance_rate,0.5572685185,0.0013348285,0.5000000000,5032,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.611962,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.950_lam1.200,binder,0.6626714791,0.0003086013,1.1663413664,5294,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.950_lam1.200,xi_over_L,0.0705948600,0.0277262560,1.1663413664,5294,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.950_lam1.200,susceptibility,0.3329379006,0.0258973786,1.1663413664,5294,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.950_lam1.200,magnetization_abs,1.3093865195,0.0071255849,1.1663413664,5294,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m0.950_lam1.200,acceptance_rate,0.5224674479,0.0011649195,0.5000000000,5294,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.200,binder,0.6641959495,0.0001839636,0.5000000000,5556,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.200,xi_over_L,0.0000000000,0.0241296238,0.5000000000,5556,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.200,susceptibility,0.3238179788,0.0232677142,0.5000000000,5556,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.200,magnetization_abs,1.3128329721,0.0036808789,0.5000000000,5556,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m0.950_lam1.200,acceptance_rate,0.5479729167,0.0008004356,0.5000000000,5556,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.630694,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.200,binder,0.6647173442,0.0001631411,0.5144226885,5818,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.200,xi_over_L,0.0891804735,0.0219565439,0.5144226885,5818,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.200,susceptibility,0.3641638365,0.0285341364,0.5144226885,5818,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.200,magnetization_abs,1.3092095142,0.0032994630,0.5144226885,5818,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m0.950_lam1.200,acceptance_rate,0.5152010995,0.0007183474,0.5000000000,5818,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,0.950000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,binder,0.6617265633,0.0004264446,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,xi_over_L,0.0916536810,0.0231852879,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,susceptibility,0.2958623721,0.0284143063,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,magnetization_abs,1.4585572311,0.0061484977,0.5496910867,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.000,acceptance_rate,0.5247164352,0.0014336808,0.5000000000,4837,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,binder,0.6637601205,0.0002299630,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,xi_over_L,0.0639788297,0.0293047783,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,susceptibility,0.2977493296,0.0228587770,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,magnetization_abs,1.4559603839,0.0044120097,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,acceptance_rate,0.5209733073,0.0011329717,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,binder,0.6645860253,0.0002327285,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,xi_over_L,0.0605649343,0.0338519065,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,susceptibility,0.3317201909,0.0357575467,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,magnetization_abs,1.4579186537,0.0042572603,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,acceptance_rate,0.5113229167,0.0008873701,0.5000000000,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,binder,0.6654157479,0.0001180420,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,xi_over_L,0.0339578486,0.0315857724,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,susceptibility,0.2826728424,0.0232627104,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,magnetization_abs,1.4489308193,0.0028659054,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,acceptance_rate,0.5092028356,0.0006758682,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,binder,0.6614713491,0.0005584518,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,xi_over_L,0.0621247518,0.0295600636,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,susceptibility,0.2859247553,0.0288300321,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,magnetization_abs,1.4131648071,0.0072656071,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,acceptance_rate,0.5324537037,0.0017885208,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,binder,0.6638551117,0.0002470744,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,xi_over_L,0.0000000000,0.0237361524,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,susceptibility,0.2675291784,0.0244487103,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,magnetization_abs,1.4049585917,0.0047508865,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,acceptance_rate,0.4863509115,0.0012295744,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,binder,0.6649246309,0.0001617078,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,xi_over_L,0.0000000000,0.0227901105,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,susceptibility,0.2607035714,0.0233155340,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,magnetization_abs,1.4149248059,0.0036693983,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,acceptance_rate,0.5159791667,0.0007660634,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,binder,0.6652839341,0.0001049976,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,xi_over_L,0.0262712391,0.0271051912,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,susceptibility,0.2998585334,0.0234273974,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,magnetization_abs,1.4102645053,0.0029517394,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,acceptance_rate,0.5140190972,0.0006859453,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,binder,0.6604205104,0.0005763951,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,xi_over_L,0.1060465909,0.0190376109,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,susceptibility,0.3323665258,0.0308091946,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,magnetization_abs,1.3717490144,0.0067435477,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,acceptance_rate,0.5270486111,0.0014552508,0.5000000000,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,binder,0.6629245116,0.0003366043,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,xi_over_L,0.1007677894,0.0207326696,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,susceptibility,0.3424572025,0.0245547542,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,magnetization_abs,1.3785296227,0.0047316675,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,acceptance_rate,0.5211979167,0.0009731350,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,binder,0.6642408749,0.0002530567,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,xi_over_L,0.0827970330,0.0255398510,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,susceptibility,0.3462039361,0.0343669632,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,magnetization_abs,1.3708964278,0.0045609747,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,acceptance_rate,0.5197916667,0.0008027485,0.5000000000,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,binder,0.6652537103,0.0001260441,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,xi_over_L,0.0000000000,0.0194982696,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
